name,avg_reward_aa,avg_reward_ae
DOUBLE_Q_Learning_le_eps_0.1_gm_0.4_alp_0.06_TD14_400kepcs,98.25,157.03
Double_Q_Learning_tuning_gmbst_aa_hp_gm_0.6_alph_0.06_td_14_eps_0.1,110.33,0
DOUBLE_Q_Learning_le_eps_0.1_gm_0.4_alp_0.06_TD14_400kepcs,116.93,148.84
Double_Q_Learning_tuning_gmbst_ae_hp_gm_0.6_alph_0.06_td_14_eps_0.1,0,173.47
Double_Q_Learning_tuning_alp_bst_aa_hp_gm_0.4_alph_0.1_td_14_eps_0.1,82.6,0
Double_Q_Learning_tuning_alp_bst_ae_hp_gm_0.6_alph_0.1_td_14_eps_0.1,0,169.59
DOUBLE_Q_Learning_le_eps_0.1_gm_0.6_alp_0.06_TD14_400kepcs_1,107.86,155.57
DOUBLE_Q_Learning_le150k_eps_0.1_gm_0.6_alp_0.06_TD14_400kepcs_1,97.44,160.53
DOUBLE_Q_Learning_le300k_eps_0.1_gm_0.6_alp_0.06_TD14_500kepcs_1,92.77,176.61
DOUBLE_Q_Learning_le300k_eps_0.1_gm_0.6_alp_0.06_TD14_500kepcs_1,109.68,160.17
Double_Q_Learning_tuning_alp_bst_aa_hp_gm_0.4_alph_0.2_td_14_eps_0.1,98.95,0
Double_Q_Learning_tuning_alp_bst_ae_hp_gm_0.6_alph_0.1_td_14_eps_0.1,0,157.87
Q_learning_le_150kepcs_gm_0.6_alp_0.1_epsmin_0.1,92.55,141.1
Q_learning_le_150kepcs_gm_0.6_alp_0.1_epsmin_0.1_TD0,113.94,178.23
Double_Q_Learning_tuning_alp_bst_aa_hp_gm_0.5_alph_0.2_td_14_eps_0.1,89.62,0
Q_learning_le_150kepcs_gm_0.6_alp_0.1_epsmin_0.1_TD0,112.9,170.73
DOUBLE_Q_Learning_le300k_eps_0.1_gm_0.6_alp_0.06_TD0_500kepcs_1,117.02,182.9
Q_learning_le_150kepcs_gm_0.6_alp_0.1_epsmin_0.1_TD14,83.2,125.92
DOUBLE_Q_Learning_le300k_eps_0.1_gm_0.6_alp_0.06_TD14_500kepcs_1,109.42,157.22
